ds,Divorce,Forecast,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper
2015-06-01,7363.0,7097.831656830784,10808.4,0,6497.34275823671,7681.840547697745,7044.374664960227,7044.374664960227
2015-07-01,6552.0,6738.53144799782,10808.4,0,6129.048923529304,7291.353056715439,7054.6968081897585,7054.6968081897585
2015-08-01,7192.0,6908.447377903677,10808.4,0,6303.728718450624,7516.485064404382,7065.349087100343,7065.349087100343
2015-09-01,7059.0,6897.392484923703,10808.4,0,6317.751774533132,7465.860499034926,7075.987130249713,7075.987130249713
2015-10-01,6980.0,7132.529969886668,10808.4,0,6527.564811611978,7732.825626156742,7086.268388506471,7086.268388506471
2015-11-01,6858.0,6835.009639977042,10808.4,0,6283.75764863218,7444.16408566353,7096.8782094951,7096.8782094951
2015-12-01,7234.0,6961.8602042424,10808.4,0,6360.4979571030035,7592.04143985067,7107.132022446413,7107.132022446413
2016-01-01,7226.0,7466.10599128986,10808.4,0,6909.772873301233,8046.453728118372,7117.713346189978,7117.713346189978
2016-02-01,7013.0,6917.927990869701,10808.4,0,6321.434748881966,7484.893508426179,7128.280083445845,7128.280083445845
2016-03-01,7934.0,7535.703086694962,10808.4,0,6901.875378070965,8083.4755905323655,7138.151794097817,7138.151794097817
2016-04-01,7045.0,7134.206253448857,10808.4,0,6583.574048945424,7677.108418886219,7148.690065029053,7148.690065029053
2016-05-01,7565.0,7369.796070054448,10808.4,0,6821.134509319159,7943.8544052646575,7158.874310841354,7158.874310841354
2016-06-01,7236.0,7278.974776323969,10808.4,0,6714.3207882300885,7888.985666382996,7169.383414798951,7169.383414798951
2016-07-01,6690.0,6961.368060323109,10808.4,0,6406.81470964435,7522.244816750637,7179.539307015106,7179.539307015106
2016-08-01,7446.0,6952.340480086311,10808.4,0,6378.974350027918,7568.0643667722525,7190.018981422074,7190.018981422074
2016-09-01,7040.0,6943.901991822567,10808.4,0,6383.7799856920465,7477.323139248139,7200.483600359479,7200.483600359479
2016-10-01,7257.0,7297.535471886326,10808.4,0,6704.4653061572835,7882.214817234653,7207.950472782956,7207.950472782956
2016-11-01,7033.0,7010.939724375876,10808.4,0,6438.996320019228,7602.59140303471,7215.6581070541315,7215.6581070541315
2016-12-01,7165.0,7007.048787806224,10808.4,0,6458.768680610401,7616.836011737197,7223.109211839407,7223.109211839407
2017-01-01,7229.0,7565.00702376797,10808.4,0,6993.791080895733,8146.3053193183205,7230.80050188797,7230.80050188797
2017-02-01,6885.0,7080.049881129254,10808.4,0,6510.424421158978,7672.00580774008,7238.48344701248,7238.48344701248
2017-03-01,7595.0,7590.628029173473,10808.4,0,7019.773590959835,8157.57286855455,7245.415687058138,7245.415687058138
2017-04-01,7905.0,7342.895295007499,10808.4,0,6760.99136582626,7931.540805723461,7253.082678226552,7253.082678226552
2017-05-01,7612.0,7441.984255176692,10808.4,0,6902.348657184238,8001.274415220311,7256.188420717813,7256.188420717813
2017-06-01,7144.0,7350.740345746101,10808.4,0,6752.360542547714,7908.017147528982,7259.3962324227905,7259.3962324227905
2017-07-01,6742.0,7010.789390815936,10808.4,0,6394.483489112881,7576.35926187378,7262.499155997314,7262.499155997314
2017-08-01,7024.0,7054.027084980985,10808.4,0,6505.8748374284205,7638.223766936087,7265.704051188723,7265.704051188723
2017-09-01,7340.0,7038.63804698087,10808.4,0,6465.872208062552,7595.009411494283,7268.907461440532,7268.907461440532
2017-10-01,7270.0,7347.848758380972,10808.4,0,6784.942725747196,7906.204244480426,7272.006120260256,7272.006120260256
2017-11-01,7049.0,7051.038798406385,10808.4,0,6470.605184862679,7638.539834278196,7275.206603091057,7275.206603091057
2017-12-01,7085.0,7082.436871924669,10808.4,0,6483.353844724088,7616.478795090373,7275.1564809033125,7275.1564809033125
2018-01-01,7888.0,7614.862409314967,10808.4,0,7034.700199911092,8184.505551456433,7275.104687591774,7275.104687591774
2018-02-01,7365.0,7099.692180035059,10808.4,0,6558.900355710745,7707.594656872741,7275.052893889742,7275.052893889742
2018-03-01,7703.0,7569.361168310229,10808.4,0,6995.575023697146,8156.696995696463,7275.006112145825,7275.006112145825
2018-04-01,7776.0,7469.522828789784,10808.4,0,6862.370064707461,8047.296824788895,7274.954317700618,7274.954317700618
2018-05-01,7865.0,7433.897140577777,10808.4,0,6844.602749259182,8002.260124951341,7274.904193672189,7274.904193672189
2018-06-01,7178.0,7347.471672857363,10808.4,0,6784.617455193097,7903.454025620752,7274.852398458621,7274.852398458621
2018-07-01,6754.0,6990.394210439811,10808.4,0,6396.129015524558,7514.146333524349,7274.781725936521,7274.781725936521
2018-08-01,7597.0,7089.966991650931,10808.4,0,6541.17341989159,7676.301954163304,7274.708696900041,7274.708696900041
2018-09-01,6829.0,7070.374033335345,10808.4,0,6448.785843498895,7650.927974789765,7274.635667087419,7274.635667087419
2018-10-01,7337.0,7335.961850131677,10808.4,0,6733.740153209125,7926.271057517877,7274.5649923362325,7274.5649923362325
2018-11-01,7373.0,7031.267208614773,10808.4,0,6493.242038638173,7608.300905334115,7274.491960996427,7274.491960996427
2018-12-01,6917.0,7105.306724649732,10808.4,0,6514.277228662193,7680.708040760566,7274.421284767363,7274.421284767363
2019-01-01,8028.0,7618.836312232115,10808.4,0,7011.347183043939,8230.743916109212,7274.34825190047,7274.34825190047
2019-02-01,7123.0,7081.597608762493,10808.4,0,6506.516648018757,7641.0230715265625,7274.275218591357,7274.275218591357
2019-03-01,7413.0,7519.2201585901785,10808.4,0,6917.8272883798045,8100.71551843362,7274.209252354843,7274.209252354843
2019-04-01,7727.0,7573.8175453224685,10808.4,0,6938.653149231799,8136.78847792767,7274.136217568836,7274.136217568836
2019-05-01,7554.0,7404.589609700558,10808.4,0,6838.268301652737,7978.986971089671,7274.065538004851,7274.065538004851
2019-06-01,7375.0,7327.449493562754,10808.4,0,6734.378089748121,7887.826083258715,7273.992501691973,7273.992501691973
2019-07-01,7150.0,6957.756460458759,10808.4,0,6354.198025102017,7524.788309824505,7273.921820650398,7273.921820650398
2019-08-01,6998.0,7116.947076264384,10808.4,0,6530.919146028619,7745.722890646254,7273.848785460548,7273.848785460548
2019-09-01,7075.0,7095.181104168792,10808.4,0,6547.350033947997,7676.596217927085,7273.77574949488,7273.77574949488
2019-10-01,7366.0,7319.966650169582,10808.4,0,6715.683065672656,7895.160823679337,7273.7050687894425,7273.7050687894425
2019-11-01,7019.0,7011.763461779235,10808.4,0,6397.357404540477,7622.904559484951,7273.6320312972275,7273.6320312972275
2019-12-01,6930.0,7128.289530910259,10808.4,0,6542.237848486416,7703.025383434527,7273.561349114527,7273.561349114527
2020-01-01,7675.0,7621.880955195759,10808.4,0,7098.592814119876,8227.707531493523,7273.48831009585,7273.48831009585
