ds,y,yhat
2016-11-01,7033.0,6920.773384192974
2016-12-01,7165.0,7129.980854689138
2017-01-01,7229.0,7746.128398188089
2017-02-01,6885.0,7162.319805192035
2017-03-01,7595.0,7724.04011769333
2017-04-01,7905.0,7778.2331014545625
2017-05-01,7612.0,7609.996311286316
2017-06-01,7144.0,7576.595427734149
2017-07-01,6742.0,7223.572039823135
2017-08-01,7024.0,7201.031804774233
2017-09-01,7340.0,7153.099310794508
2017-10-01,7270.0,7343.7608963015955
2017-11-01,7049.0,7031.942015713166
2017-12-01,7085.0,7229.764561907146
2018-01-01,7888.0,7653.921162930614
2018-02-01,7365.0,7132.163424804719
2018-03-01,7703.0,7734.97111642581
2018-04-01,7776.0,7807.756157178199
2018-05-01,7865.0,7630.794542658489
2018-06-01,7178.0,7522.014513233906
2018-07-01,6754.0,7150.034142007458
2018-08-01,7597.0,7206.219251770924
2018-09-01,6829.0,7193.573647452729
2018-10-01,7337.0,7356.678300820905
2018-11-01,7373.0,7049.296084554538
2018-12-01,6917.0,7229.75548968414
2019-01-01,8028.0,7745.763080062218
2019-02-01,7123.0,7235.226730515827
2019-03-01,7413.0,7807.509049024857
2019-04-01,7727.0,7877.366866490736
2019-05-01,7554.0,7747.287991021715
2019-06-01,7375.0,7520.289628263096
2019-07-01,7150.0,7130.742944735528
2019-08-01,6998.0,7350.703730956032
2019-09-01,7075.0,7211.672320106714
2019-10-01,7366.0,7429.408014901941
2019-11-01,7019.0,7180.777216801203
2019-12-01,6930.0,7249.578106452598
2020-01-01,7675.0,7768.296455389371
2020-02-01,7239.0,7177.320781250948
2020-03-01,7469.0,7709.572485444241
2020-04-01,3275.0,7806.74780850191
2020-05-01,6704.0,7651.062695184555
2020-06-01,8037.0,7510.032405987019
2020-07-01,7783.0,7156.012550150447
2020-08-01,7651.0,7227.693220171199
2020-09-01,7721.0,7156.8343242253295
2020-10-01,7725.0,7363.7263995286385
2020-11-01,7719.0,7084.162387320886
2020-12-01,7328.0,7189.072125652647
2021-01-01,7125.0,7858.676924007591
2021-02-01,7288.0,7311.9788952238205
2021-03-01,8164.0,7737.998197560462
2021-04-01,7608.0,6702.672430294046
2021-05-01,6731.0,7539.076460323544
2021-06-01,6768.0,7689.864849549307
2021-07-01,6098.0,7355.408303538188
2021-08-01,5800.0,7485.147239074504
2021-09-01,6685.0,7409.409123262184
2021-10-01,7276.0,7593.759189181615
2021-11-01,8024.0,7411.902293794492
2021-12-01,7925.0,7287.6835066242875
2022-01-01,8272.0,7870.7448536756065
2022-02-01,7335.0,7271.987303920964
2022-03-01,7567.0,7805.677369613263
2022-04-01,7654.0,7271.615323466675
2022-05-01,8131.0,7473.8272557761
2022-06-01,8128.0,7500.825689661598
2022-07-01,7153.0,7109.363611949174
2022-08-01,8324.0,7149.719929586282
2022-09-01,8680.0,7218.796481802143
2022-10-01,9007.0,7469.343275037396
2022-11-01,8423.0,7379.7720499231355
2022-12-01,8217.0,7354.329239954757
2023-01-01,8214.0,8208.984255523352
2023-02-01,7622.0,7481.347332284197
2023-03-01,8649.0,7973.590799614758
2023-04-01,8530.0,7566.4839128549065
2023-05-01,8318.0,7780.253838273813
2023-06-01,7750.0,7794.900322044076
2023-07-01,7641.0,7331.075794975576
2023-08-01,7735.0,7518.760527805876
2023-09-01,7380.0,7614.586836115224
2023-10-01,8090.0,7869.994551828809
2023-11-01,7024.0,7696.3546361554445
2023-12-01,7667.0,7659.859149050637
2024-01-01,7919.0,8388.290618786436
2024-02-01,7854.0,7773.052192622683
2024-03-01,7803.0,8314.976713091064
