Year_BE,Month,YYMM,Province_Code,Province,Divorce,Marriage
2564,3,6403,86,จังหวัดชุมพร,111.0,230.0
2564,3,6403,90,จังหวัดสงขลา,249.0,584.0
2564,3,6403,91,จังหวัดสตูล,45.0,100.0
2564,3,6403,92,จังหวัดตรัง,97.0,221.0
2564,3,6403,93,จังหวัดพัทลุง,99.0,187.0
2564,3,6403,94,จังหวัดปัตตานี,35.0,175.0
2564,3,6403,95,จังหวัดยะลา,35.0,160.0
2564,3,6403,96,จังหวัดนราธิวาส,50.0,193.0
2564,4,6404,10,กรุงเทพมหานคร,803.0,1836.0
2564,4,6404,11,จังหวัดสมุทรปราการ,274.0,584.0
2564,4,6404,12,จังหวัดนนทบุรี,195.0,421.0
2564,4,6404,13,จังหวัดปทุมธานี,246.0,500.0
2564,4,6404,14,จังหวัดพระนครศรีอยุธยา,157.0,281.0
2564,4,6404,15,จังหวัดอ่างทอง,31.0,74.0
2564,4,6404,16,จังหวัดลพบุรี,124.0,229.0
2564,4,6404,17,จังหวัดสิงห์บุรี,29.0,53.0
2564,4,6404,18,จังหวัดชัยนาท,34.0,103.0
2564,4,6404,19,จังหวัดสระบุรี,144.0,266.0
2564,4,6404,20,จังหวัดชลบุรี,534.0,844.0
2564,4,6404,21,จังหวัดระยอง,256.0,460.0
2564,4,6404,22,จังหวัดจันทบุรี,78.0,130.0
2564,4,6404,23,จังหวัดตราด,22.0,57.0
2564,4,6404,24,จังหวัดฉะเชิงเทรา,124.0,256.0
2564,4,6404,25,จังหวัดปราจีนบุรี,97.0,146.0
2564,4,6404,26,จังหวัดนครนายก,35.0,74.0
2564,4,6404,27,จังหวัดสระแก้ว,79.0,138.0
2564,4,6404,30,จังหวัดนครราชสีมา,305.0,661.0
2564,4,6404,31,จังหวัดบุรีรัมย์,177.0,351.0
2564,4,6404,32,จังหวัดสุรินทร์,156.0,321.0
2564,4,6404,33,จังหวัดศรีสะเกษ,150.0,394.0
2564,4,6404,34,จังหวัดอุบลราชธานี,275.0,551.0
2564,4,6404,35,จังหวัดยโสธร,74.0,166.0
2564,4,6404,36,จังหวัดชัยภูมิ,142.0,286.0
2564,4,6404,37,จังหวัดอำนาจเจริญ,34.0,115.0
2564,4,6404,38,จังหวัดบึงกาฬ,63.0,140.0
2564,4,6404,39,จังหวัดหนองบัวลำภู,77.0,155.0
2564,4,6404,40,จังหวัดขอนแก่น,268.0,557.0
2564,4,6404,41,จังหวัดอุดรธานี,221.0,423.0
2564,4,6404,42,จังหวัดเลย,130.0,202.0
2564,4,6404,43,จังหวัดหนองคาย,74.0,167.0
2564,4,6404,44,จังหวัดมหาสารคาม,120.0,273.0
2564,4,6404,45,จังหวัดร้อยเอ็ด,180.0,362.0
2564,4,6404,46,จังหวัดกาฬสินธุ์,126.0,289.0
2564,4,6404,47,จังหวัดสกลนคร,155.0,350.0
2564,4,6404,48,จังหวัดนครพนม,56.0,139.0
2564,4,6404,49,จังหวัดมุกดาหาร,33.0,105.0
2564,4,6404,50,จังหวัดเชียงใหม่,159.0,386.0
2564,4,6404,51,จังหวัดลำพูน,76.0,148.0
2564,4,6404,52,จังหวัดลำปาง,98.0,208.0
2564,4,6404,53,จังหวัดอุตรดิตถ์,64.0,145.0
2564,4,6404,54,จังหวัดแพร่,64.0,118.0
2564,4,6404,55,จังหวัดน่าน,67.0,137.0
2564,4,6404,56,จังหวัดพะเยา,64.0,156.0
2564,4,6404,57,จังหวัดเชียงราย,147.0,367.0
2564,4,6404,58,จังหวัดแม่ฮ่องสอน,21.0,77.0
2564,4,6404,60,จังหวัดนครสวรรค์,140.0,260.0
2564,4,6404,61,จังหวัดอุทัยธานี,37.0,68.0
2564,4,6404,62,จังหวัดกำแพงเพชร,102.0,168.0
2564,4,6404,63,จังหวัดตาก,47.0,123.0
2564,4,6404,64,จังหวัดสุโขทัย,69.0,137.0
2564,4,6404,65,จังหวัดพิษณุโลก,132.0,235.0
2564,4,6404,66,จังหวัดพิจิตร,58.0,135.0
2564,4,6404,67,จังหวัดเพชรบูรณ์,120.0,248.0
2564,4,6404,70,จังหวัดราชบุรี,123.0,268.0
2564,4,6404,71,จังหวัดกาญจนบุรี,118.0,207.0
2564,4,6404,72,จังหวัดสุพรรณบุรี,91.0,197.0
2564,4,6404,73,จังหวัดนครปฐม,103.0,280.0
2564,4,6404,74,จังหวัดสมุทรสาคร,98.0,165.0
2564,4,6404,75,จังหวัดสมุทรสงคราม,26.0,49.0
2564,4,6404,76,จังหวัดเพชรบุรี,77.0,129.0
2564,4,6404,77,จังหวัดประจวบคีรีขันธ์,64.0,140.0
2564,4,6404,80,จังหวัดนครศรีธรรมราช,187.0,389.0
2564,4,6404,81,จังหวัดกระบี่,58.0,127.0
2564,4,6404,82,จังหวัดพังงา,32.0,48.0
2564,4,6404,83,จังหวัดภูเก็ต,65.0,152.0
2564,4,6404,84,จังหวัดสุราษฎร์ธานี,127.0,304.0
2564,4,6404,85,จังหวัดระนอง,22.0,44.0
2564,4,6404,86,จังหวัดชุมพร,65.0,118.0
2564,4,6404,90,จังหวัดสงขลา,202.0,416.0
2564,4,6404,91,จังหวัดสตูล,29.0,65.0
2564,4,6404,92,จังหวัดตรัง,77.0,143.0
2564,4,6404,93,จังหวัดพัทลุง,71.0,120.0
2564,4,6404,94,จังหวัดปัตตานี,25.0,108.0
2564,4,6404,95,จังหวัดยะลา,26.0,123.0
2564,4,6404,96,จังหวัดนราธิวาส,21.0,127.0
2564,5,6405,10,กรุงเทพมหานคร,104.0,280.0
2564,5,6405,11,จังหวัดสมุทรปราการ,275.0,634.0
2564,5,6405,12,จังหวัดนนทบุรี,134.0,306.0
2564,5,6405,13,จังหวัดปทุมธานี,292.0,578.0
2564,5,6405,14,จังหวัดพระนครศรีอยุธยา,169.0,296.0
2564,5,6405,15,จังหวัดอ่างทอง,41.0,51.0
2564,5,6405,16,จังหวัดลพบุรี,120.0,209.0
2564,5,6405,17,จังหวัดสิงห์บุรี,25.0,52.0
2564,5,6405,18,จังหวัดชัยนาท,40.0,84.0
2564,5,6405,19,จังหวัดสระบุรี,160.0,300.0
2564,5,6405,20,จังหวัดชลบุรี,452.0,985.0
2564,5,6405,21,จังหวัดระยอง,264.0,482.0
2564,5,6405,22,จังหวัดจันทบุรี,65.0,99.0
2564,5,6405,23,จังหวัดตราด,21.0,48.0
2564,5,6405,24,จังหวัดฉะเชิงเทรา,149.0,307.0
2564,5,6405,25,จังหวัดปราจีนบุรี,97.0,164.0
2564,5,6405,26,จังหวัดนครนายก,25.0,58.0
2564,5,6405,27,จังหวัดสระแก้ว,88.0,155.0
2564,5,6405,30,จังหวัดนครราชสีมา,268.0,652.0
2564,5,6405,31,จังหวัดบุรีรัมย์,100.0,290.0
2564,5,6405,32,จังหวัดสุรินทร์,95.0,234.0
2564,5,6405,33,จังหวัดศรีสะเกษ,86.0,254.0
2564,5,6405,34,จังหวัดอุบลราชธานี,211.0,409.0
2564,5,6405,35,จังหวัดยโสธร,47.0,111.0
2564,5,6405,36,จังหวัดชัยภูมิ,117.0,247.0
2564,5,6405,37,จังหวัดอำนาจเจริญ,21.0,110.0
2564,5,6405,38,จังหวัดบึงกาฬ,43.0,117.0
2564,5,6405,39,จังหวัดหนองบัวลำภู,48.0,116.0
2564,5,6405,40,จังหวัดขอนแก่น,227.0,455.0
2564,5,6405,41,จังหวัดอุดรธานี,186.0,343.0
2564,5,6405,42,จังหวัดเลย,89.0,153.0
2564,5,6405,43,จังหวัดหนองคาย,53.0,130.0
2564,5,6405,44,จังหวัดมหาสารคาม,109.0,226.0
2564,5,6405,45,จังหวัดร้อยเอ็ด,130.0,274.0
2564,5,6405,46,จังหวัดกาฬสินธุ์,103.0,268.0
2564,5,6405,47,จังหวัดสกลนคร,101.0,277.0
2564,5,6405,48,จังหวัดนครพนม,55.0,171.0
2564,5,6405,49,จังหวัดมุกดาหาร,45.0,90.0
2564,5,6405,50,จังหวัดเชียงใหม่,153.0,307.0
2564,5,6405,51,จังหวัดลำพูน,80.0,164.0
2564,5,6405,52,จังหวัดลำปาง,93.0,170.0
2564,5,6405,53,จังหวัดอุตรดิตถ์,58.0,119.0
2564,5,6405,54,จังหวัดแพร่,41.0,87.0
2564,5,6405,55,จังหวัดน่าน,59.0,108.0
2564,5,6405,56,จังหวัดพะเยา,39.0,127.0
2564,5,6405,57,จังหวัดเชียงราย,121.0,329.0
2564,5,6405,58,จังหวัดแม่ฮ่องสอน,25.0,88.0
2564,5,6405,60,จังหวัดนครสวรรค์,129.0,282.0
2564,5,6405,61,จังหวัดอุทัยธานี,32.0,86.0
2564,5,6405,62,จังหวัดกำแพงเพชร,92.0,146.0
2564,5,6405,63,จังหวัดตาก,57.0,145.0
2564,5,6405,64,จังหวัดสุโขทัย,56.0,147.0
2564,5,6405,65,จังหวัดพิษณุโลก,116.0,254.0
2564,5,6405,66,จังหวัดพิจิตร,63.0,86.0
2564,5,6405,67,จังหวัดเพชรบูรณ์,99.0,225.0
2564,5,6405,70,จังหวัดราชบุรี,130.0,232.0
2564,5,6405,71,จังหวัดกาญจนบุรี,124.0,192.0
2564,5,6405,72,จังหวัดสุพรรณบุรี,118.0,213.0
2564,5,6405,73,จังหวัดนครปฐม,101.0,254.0
2564,5,6405,74,จังหวัดสมุทรสาคร,104.0,240.0
2564,5,6405,75,จังหวัดสมุทรสงคราม,24.0,60.0
2564,5,6405,76,จังหวัดเพชรบุรี,68.0,144.0
2564,5,6405,77,จังหวัดประจวบคีรีขันธ์,90.0,151.0
2564,5,6405,80,จังหวัดนครศรีธรรมราช,90.0,237.0
2564,5,6405,81,จังหวัดกระบี่,48.0,90.0
2564,5,6405,82,จังหวัดพังงา,26.0,61.0
2564,5,6405,83,จังหวัดภูเก็ต,67.0,132.0
2564,5,6405,84,จังหวัดสุราษฎร์ธานี,87.0,192.0
2564,5,6405,85,จังหวัดระนอง,12.0,30.0
2564,5,6405,86,จังหวัดชุมพร,59.0,170.0
2564,5,6405,90,จังหวัดสงขลา,148.0,371.0
2564,5,6405,91,จังหวัดสตูล,28.0,62.0
2564,5,6405,92,จังหวัดตรัง,58.0,136.0
2564,5,6405,93,จังหวัดพัทลุง,45.0,96.0
2564,5,6405,94,จังหวัดปัตตานี,21.0,115.0
2564,5,6405,95,จังหวัดยะลา,31.0,96.0
2564,5,6405,96,จังหวัดนราธิวาส,28.0,145.0
2564,6,6406,10,กรุงเทพมหานคร,343.0,673.0
2564,6,6406,11,จังหวัดสมุทรปราการ,329.0,734.0
2564,6,6406,12,จังหวัดนนทบุรี,257.0,475.0
2564,6,6406,13,จังหวัดปทุมธานี,296.0,607.0
2564,6,6406,14,จังหวัดพระนครศรีอยุธยา,210.0,337.0
2564,6,6406,15,จังหวัดอ่างทอง,45.0,82.0
2564,6,6406,16,จังหวัดลพบุรี,122.0,224.0
2564,6,6406,17,จังหวัดสิงห์บุรี,36.0,46.0
2564,6,6406,18,จังหวัดชัยนาท,43.0,83.0
2564,6,6406,19,จังหวัดสระบุรี,181.0,290.0
2564,6,6406,20,จังหวัดชลบุรี,587.0,1123.0
2564,6,6406,21,จังหวัดระยอง,345.0,634.0
2564,6,6406,22,จังหวัดจันทบุรี,67.0,157.0
2564,6,6406,23,จังหวัดตราด,23.0,47.0
2564,6,6406,24,จังหวัดฉะเชิงเทรา,178.0,304.0
2564,6,6406,25,จังหวัดปราจีนบุรี,136.0,235.0
2564,6,6406,26,จังหวัดนครนายก,35.0,71.0
2564,6,6406,27,จังหวัดสระแก้ว,85.0,189.0
2564,6,6406,30,จังหวัดนครราชสีมา,346.0,871.0
2564,6,6406,31,จังหวัดบุรีรัมย์,142.0,327.0
2564,6,6406,32,จังหวัดสุรินทร์,112.0,281.0
2564,6,6406,33,จังหวัดศรีสะเกษ,151.0,355.0
2564,6,6406,34,จังหวัดอุบลราชธานี,195.0,491.0
2564,6,6406,35,จังหวัดยโสธร,61.0,153.0
2564,6,6406,36,จังหวัดชัยภูมิ,135.0,284.0
2564,6,6406,37,จังหวัดอำนาจเจริญ,37.0,105.0
2564,6,6406,38,จังหวัดบึงกาฬ,44.0,100.0
2564,6,6406,39,จังหวัดหนองบัวลำภู,48.0,132.0
2564,6,6406,40,จังหวัดขอนแก่น,240.0,509.0
2564,6,6406,41,จังหวัดอุดรธานี,226.0,380.0
2564,6,6406,42,จังหวัดเลย,105.0,147.0
2564,6,6406,43,จังหวัดหนองคาย,70.0,136.0
2564,6,6406,44,จังหวัดมหาสารคาม,133.0,244.0
2564,6,6406,45,จังหวัดร้อยเอ็ด,145.0,311.0
2564,6,6406,46,จังหวัดกาฬสินธุ์,109.0,280.0
2564,6,6406,47,จังหวัดสกลนคร,109.0,325.0
2564,6,6406,48,จังหวัดนครพนม,67.0,195.0
2564,6,6406,49,จังหวัดมุกดาหาร,46.0,94.0
2564,6,6406,50,จังหวัดเชียงใหม่,299.0,635.0
2564,6,6406,51,จังหวัดลำพูน,85.0,179.0
2564,6,6406,52,จังหวัดลำปาง,119.0,225.0
2564,6,6406,53,จังหวัดอุตรดิตถ์,51.0,99.0
2564,6,6406,54,จังหวัดแพร่,63.0,99.0
2564,6,6406,55,จังหวัดน่าน,50.0,121.0
2564,6,6406,56,จังหวัดพะเยา,42.0,123.0
2564,6,6406,57,จังหวัดเชียงราย,146.0,342.0
